Company,Model Name,Variant,Price,Launch year,Car type,Engine,Mileage,Range,Transmission type,Fuel type,Battery capacity,Top speed,Airbags count,"ABS, EBD",ADAS features,NCAP rating,Parking sensors/camera,Infotainment system,Touchscreen size,Sunroof,AC type,Seat material,Connectivity,Ex-showroom price,Car images,Charging Time DC,Charging Time AC,Electric Motor Power,Seating capacity,Engine (cc),Turbo,Horsepower (est.),Warranty,Headlight,Power,Torque,Fuel Tank Capacity
Tata,Tigor,XZA+ AMT,6.71,2017,Sedan,1.2L Revotron,19.2,,AMT,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.71 Lakh,/assets/vehicle_images/tata/Tata Tigor.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tigor,XZ+ CNG,7.11,2017,Sedan,1.2L Revotron,26.4,,Manual,CNG,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,7.11 Lakh,/assets/vehicle_images/tata/Tata Tigor.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73 PS,95 Nm,60 L
Tata,Nexon,Smart Petrol,7.31,2017,SUV,1.2L Turbo,17.44,,Manual,Petrol,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,7.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Pure+ S Petrol,9.31,2017,SUV,1.2L Turbo,17.44,,Manual,Petrol,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"7""",Yes,Auto,Fabric,AA/CarPlay,9.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Creative+ S DCA,11.31,2017,SUV,1.2L Turbo,17.01,,DCA,Petrol,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Fabric,AA/CarPlay,11.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Fearless+ S Diesel,13.31,2017,SUV,1.5L Turbo,23.23,,Manual,Diesel,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,13.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1500,Yes,94,3 Years / 1 Lakh km,LED,115 PS,260 Nm,44 L
Tata,Nexon,Smart CNG,8.31,2017,SUV,1.2L Turbo,24.08,,Manual,CNG,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,8.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,100 PS,170 Nm,60 L
Tata,Safari,Smart Diesel,13.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Auto,Fabric,—,13.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Pure+ Diesel,15.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",Yes,Auto,Fabric,AA/CarPlay,15.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Adventure+ Diesel,17.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,17.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Accomplished+ AT,20.29,2021,SUV,2.0L Turbo,14.1,,Auto,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Yes,Auto,Leatherette,AA/CarPlay,20.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Accomplished+ Dark AT,21.29,2021,SUV,2.0L Turbo,14.1,,Auto,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Yes,Auto,Leatherette,AA/CarPlay,21.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Sierra,Smart+ Petrol MT,11.49,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Sensors,Basic,"4""",No,Auto,Fabric,—,11.49 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Smart+ Diesel MT,12.99,2025,SUV,1.5L Diesel,16-20,,Manual,Diesel,—,180,6,Yes,Yes,5★,Sensors,Basic,"4""",No,Auto,Fabric,—,12.99 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,115 PS,260 Nm,50 L
Tata,Sierra,Pure Petrol MT,12.99,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Leatherette,AA/CarPlay,12.99 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Pure+ Petrol MT,14.49,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Cam+Sensor,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,14.49 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Adventure Petrol MT,15.29,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,15.29 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Accomplished Petrol MT,17.99,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,17.99 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Accomplished+ Turbo AT,20.99,2025,SUV,1.5L Turbo,16-20,,Auto,Petrol,—,180,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,20.99 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,Yes,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Harrier,Smart,15.49,2019,SUV,2.0L Diesel,16.8,,Manual,Diesel,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Auto,Fabric,—,15.49 Lakh,/assets/vehicle_images/tata/Tata Harrier.png,,,,5,2000,No,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Harrier,Pure X,16.99,2019,SUV,2.0L Diesel,16.8,,Manual,Diesel,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Fabric,AA/CarPlay,16.99 Lakh,/assets/vehicle_images/tata/Tata Harrier.png,,,,5,2000,No,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Harrier,Adventure X,18.99,2019,SUV,2.0L Diesel,16.8,,Manual,Diesel,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Leatherette,AA/CarPlay,18.99 Lakh,/assets/vehicle_images/tata/Tata Harrier.png,,,,5,2000,No,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Harrier,Fearless X,22.99,2019,SUV,2.0L Diesel,16.8,,Manual,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,22.99 Lakh,/assets/vehicle_images/tata/Tata Harrier.png,,,,5,2000,No,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Harrier,Fearless X+ Stealth,26.44,2019,SUV,2.0L Diesel,16.8,,Auto,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,26.44 Lakh,/assets/vehicle_images/tata/Tata Harrier.png,,,,5,2000,No,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Punch,Smart,6.13,2021,SUV,1.2L Petrol,20.09,,Manual,Petrol,—,150,2,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,6.13 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Punch,Pure,6.5,2021,SUV,1.2L Petrol,20.09,,Manual,Petrol,—,150,2,Yes,No,5★,Sensors,Basic,"4""",No,Manual,Fabric,—,6.5 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Punch,Adventure,7,2021,SUV,1.2L Petrol,20.09,,Manual,Petrol,—,150,2,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Manual,Fabric,AA/CarPlay,7 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Punch,Accomplished,7.8,2021,SUV,1.2L Petrol,20.09,,Manual,Petrol,—,150,2,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Manual,Fabric,AA/CarPlay,7.8 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Punch,Creative,8.8,2021,SUV,1.2L Petrol,20.09,,Manual,Petrol,—,150,2,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,8.8 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Punch,Pure CNG,7.23,2021,SUV,1.2L CNG,26.99,,Manual,CNG,—,150,2,Yes,No,5★,Sensors,Basic,"4""",No,Manual,Fabric,—,7.23 Lakh,/assets/vehicle_images/tata/Tata Punch.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73.5 PS,103 Nm,60 L
Tata,Curvv,Smart,9.66,2024,SUV Coupe,1.2L Petrol,17.4,,Manual,Petrol,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,9.66 Lakh,/assets/vehicle_images/tata/Tata Curvv.png,,,,5,1200,No,75,3 Years / 1 Lakh km,LED,125 PS,225 Nm,44 L
Tata,Curvv,Pure+,10.99,2024,SUV Coupe,1.2L Petrol,17.4,,Manual,Petrol,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,10.99 Lakh,/assets/vehicle_images/tata/Tata Curvv.png,,,,5,1200,No,75,3 Years / 1 Lakh km,LED,125 PS,225 Nm,44 L
Tata,Curvv,Creative,12.19,2024,SUV Coupe,1.2L Petrol,17.4,,Manual,Petrol,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Fabric,AA/CarPlay,12.19 Lakh,/assets/vehicle_images/tata/Tata Curvv.png,,,,5,1200,No,75,3 Years / 1 Lakh km,LED,125 PS,225 Nm,44 L
Tata,Curvv,Accomplished S,14.69,2024,SUV Coupe,1.2L Petrol,17.4,,Manual,Petrol,—,180,6,Yes,Yes,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,14.69 Lakh,/assets/vehicle_images/tata/Tata Curvv.png,,,,5,1200,No,75,3 Years / 1 Lakh km,LED,125 PS,225 Nm,44 L
Tata,Curvv,Accomplished+ A,17.49,2024,SUV Coupe,1.5L Diesel,17.4,,Auto,Diesel,—,180,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,17.49 Lakh,/assets/vehicle_images/tata/Tata Curvv.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,115 PS,260 Nm,44 L
Tata,Tiago EV,XE MR,7.99,2022,Hatchback,Electric,,223,Automatic,Electric,19.2 kWh,120,2,Yes,No,4★,Sensors,Basic,—,No,Auto,Fabric,—,7.99 Lakh,/assets/vehicle_images/tata/Tata Tiago Ev.png,~58 mins,~2.6 h,61 PS,5,—,No,60,8 Years / 1.6 Lakh km,Halogen,74 PS,114 Nm,EV
Tata,Tiago EV,XT MR,8.99,2022,Hatchback,Electric,,223,Automatic,Electric,19.2 kWh,120,2,Yes,No,4★,Sensors,Basic,—,No,Auto,Fabric,—,8.99 Lakh,/assets/vehicle_images/tata/Tata Tiago Ev.png,~58 mins,~2.6 h,61 PS,5,—,No,60,8 Years / 1.6 Lakh km,Halogen,74 PS,114 Nm,EV
Tata,Tiago EV,XT LR,10.14,2022,Hatchback,Electric,,293,Automatic,Electric,24 kWh,120,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,10.14 Lakh,/assets/vehicle_images/tata/Tata Tiago Ev.png,~58 mins,~3.6 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,114 Nm,EV
Tata,Tiago EV,XZ Plus Tech LUX LR,11.14,2022,Hatchback,Electric,,293,Automatic,Electric,24 kWh,120,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,11.14 Lakh,/assets/vehicle_images/tata/Tata Tiago Ev.png,~58 mins,~3.6 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,114 Nm,EV
Tata,Tigor EV,XE,12.49,2021,Sedan,Electric,,315,Automatic,Electric,26 kWh,120,2,Yes,No,4★,Sensors,Basic,—,No,Auto,Fabric,—,12.49 Lakh,/assets/vehicle_images/tata/Tata Tigor Ev.png,~59 mins,~9.4 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,170 Nm,EV
Tata,Tigor EV,XT,12.99,2021,Sedan,Electric,,315,Automatic,Electric,26 kWh,120,2,Yes,No,4★,Sensors,Basic,—,No,Auto,Fabric,—,12.99 Lakh,/assets/vehicle_images/tata/Tata Tigor Ev.png,~59 mins,~9.4 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,170 Nm,EV
Tata,Tigor EV,XZ Plus,13.49,2021,Sedan,Electric,,315,Automatic,Electric,26 kWh,120,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,13.49 Lakh,/assets/vehicle_images/tata/Tata Tigor Ev.png,~59 mins,~9.4 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,170 Nm,EV
Tata,Tigor EV,XZ Plus LUX,13.75,2021,Sedan,Electric,,315,Automatic,Electric,26 kWh,120,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,13.75 Lakh,/assets/vehicle_images/tata/Tata Tigor Ev.png,~59 mins,~9.4 h,74 PS,5,—,No,73,8 Years / 1.6 Lakh km,Halogen,74 PS,170 Nm,EV
Tata,Punch EV,Smart 30kWh,9.69,2024,SUV,Electric,,315,Automatic,Electric,30 kWh,140,6,Yes,No,5★,Sensors,Basic,—,No,Auto,Fabric,—,9.69 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,82 PS,5,—,No,81,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Punch EV,Smart Plus 30kWh,10.29,2024,SUV,Electric,,315,Automatic,Electric,30 kWh,140,6,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,10.29 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,82 PS,5,—,No,81,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Punch EV,Smart Plus 40kWh,10.89,2024,SUV,Electric,,421,Automatic,Electric,40 kWh,140,6,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,10.89 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,122 PS,5,—,No,120,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Punch EV,Adventure 40kWh,11.59,2024,SUV,Electric,,421,Automatic,Electric,40 kWh,140,6,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,11.59 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,122 PS,5,—,No,120,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Punch EV,Empowered 40kWh,12.29,2024,SUV,Electric,,421,Automatic,Electric,40 kWh,140,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,12.29 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,122 PS,5,—,No,120,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Punch EV,Empowered Plus S 40kWh,12.59,2024,SUV,Electric,,421,Automatic,Electric,40 kWh,140,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,12.59 Lakh,/assets/vehicle_images/tata/Tata Punch Ev.png,~56 mins,~5.3 h,122 PS,5,—,No,120,8 Years / 1.6 Lakh km,LED,122 PS,190 Nm,EV
Tata,Nexon EV,Creative 30kWh,12.49,2023,SUV,Electric,,275,Automatic,Electric,30 kWh,150,6,Yes,No,5★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,12.49 Lakh,/assets/vehicle_images/tata/Tata Nexon Ev.png,~56 mins,~4.3 h,129 PS,5,—,No,127,8 Years / 1.6 Lakh km,LED,143 PS,250 Nm,EV
Tata,Nexon EV,Fearless 45kWh,14.49,2023,SUV,Electric,,489,Automatic,Electric,45 kWh,150,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,14.49 Lakh,/assets/vehicle_images/tata/Tata Nexon Ev.png,~40 mins,~6.6 h,144 PS,5,—,No,142,8 Years / 1.6 Lakh km,LED,143 PS,250 Nm,EV
Tata,Nexon EV,Empowered 45kWh,15.49,2023,SUV,Electric,,489,Automatic,Electric,45 kWh,150,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,15.49 Lakh,/assets/vehicle_images/tata/Tata Nexon Ev.png,~40 mins,~6.6 h,144 PS,5,—,No,142,8 Years / 1.6 Lakh km,LED,143 PS,250 Nm,EV
Tata,Nexon EV,Empowered Plus 45kWh,17.49,2023,SUV,Electric,,489,Automatic,Electric,45 kWh,150,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Yes,Auto,Leatherette,AA/CarPlay,17.49 Lakh,/assets/vehicle_images/tata/Tata Nexon Ev.png,~40 mins,~6.6 h,144 PS,5,—,No,142,8 Years / 1.6 Lakh km,LED,143 PS,250 Nm,EV
Tata,Curvv EV,Creative 45,17.49,2024,SUV Coupe,Electric,,430,Automatic,Electric,45 kWh,160,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Leatherette,AA/CarPlay,17.49 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~6.5 h,150 PS,5,—,No,148,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Accomplished 45,18.49,2024,SUV Coupe,Electric,,430,Automatic,Electric,45 kWh,160,6,Yes,No,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,18.49 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~6.5 h,150 PS,5,—,No,148,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Accomplished 55,19.25,2024,SUV Coupe,Electric,,502,Automatic,Electric,55 kWh,160,6,Yes,No,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,19.25 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~8 h,167 PS,5,—,No,165,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Accomplished Plus S 45,19.29,2024,SUV Coupe,Electric,,430,Automatic,Electric,45 kWh,160,6,Yes,No,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,19.29 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~6.5 h,150 PS,5,—,No,148,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Accomplished Plus S 55,19.99,2024,SUV Coupe,Electric,,502,Automatic,Electric,55 kWh,160,6,Yes,No,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,19.99 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~8 h,167 PS,5,—,No,165,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Empowered Plus 55,21.25,2024,SUV Coupe,Electric,,502,Automatic,Electric,55 kWh,160,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,21.25 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~8 h,167 PS,5,—,No,165,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
Tata,Curvv EV,Empowered Plus A 55,21.99,2024,SUV Coupe,Electric,,502,Automatic,Electric,55 kWh,160,6,Yes,Yes,5★,360° Cam,Premium,"12.3""",Panoramic,Auto,Leatherette,AA/CarPlay,21.99 Lakh,/assets/vehicle_images/tata/Tata Curvv Ev.png,~40 mins,~8 h,167 PS,5,—,No,165,8 Years / 1.6 Lakh km,LED,167 PS,250 Nm,EV
